,D.O.A,admissions
0,2017-01-04,1
1,2017-01-10,2
2,2017-01-11,2
3,2017-01-12,11
4,2017-02-04,2
5,2017-02-10,5
6,2017-02-11,2
7,2017-02-12,9
8,2017-03-10,8
9,2017-03-11,8
10,2017-03-12,7
11,2017-04-01,29
12,2017-04-02,13
13,2017-04-03,26
14,2017-04-04,20
15,2017-04-05,7
16,2017-04-06,11
17,2017-04-07,6
18,2017-04-08,11
19,2017-04-09,8
20,2017-04-10,9
21,2017-04-11,16
22,2017-04-12,20
23,2017-04-13,11
24,2017-04-14,8
25,2017-04-15,7
26,2017-04-16,5
27,2017-04-17,5
28,2017-04-18,5
29,2017-04-19,8
30,2017-04-20,21
31,2017-04-21,16
32,2017-04-22,32
33,2017-04-23,17
34,2017-04-24,39
35,2017-04-25,26
36,2017-04-26,27
37,2017-04-27,33
38,2017-04-28,27
39,2017-04-29,20
40,2017-04-30,19
41,2017-05-01,28
42,2017-05-02,14
43,2017-05-03,15
44,2017-05-04,19
45,2017-05-05,23
46,2017-05-06,16
47,2017-05-07,23
48,2017-05-08,24
49,2017-05-09,25
50,2017-05-10,25
51,2017-05-11,18
52,2017-05-12,25
53,2017-05-13,20
54,2017-05-14,16
55,2017-05-15,30
56,2017-05-16,18
57,2017-05-17,26
58,2017-05-18,20
59,2017-05-19,18
60,2017-05-20,15
61,2017-05-21,16
62,2017-05-22,18
63,2017-05-23,24
64,2017-05-24,27
65,2017-05-25,20
66,2017-05-26,14
67,2017-05-27,18
68,2017-05-28,14
69,2017-05-29,15
70,2017-05-30,21
71,2017-05-31,9
72,2017-06-01,21
73,2017-06-02,18
74,2017-06-03,27
75,2017-06-04,20
76,2017-06-05,36
77,2017-06-06,24
78,2017-06-07,23
79,2017-06-08,25
80,2017-06-09,13
81,2017-06-10,24
82,2017-06-11,25
83,2017-06-12,15
84,2017-06-13,22
85,2017-06-14,21
86,2017-06-15,17
87,2017-06-16,17
88,2017-06-17,17
89,2017-06-18,15
90,2017-06-19,21
91,2017-06-20,23
92,2017-06-21,18
93,2017-06-22,19
94,2017-06-23,21
95,2017-06-24,32
96,2017-06-25,14
97,2017-06-26,25
98,2017-06-27,15
99,2017-06-28,18
100,2017-06-29,18
101,2017-06-30,16
102,2017-07-01,11
103,2017-07-02,18
104,2017-07-03,21
105,2017-07-04,26
106,2017-07-05,27
107,2017-07-06,21
108,2017-07-07,25
109,2017-07-08,19
110,2017-07-09,12
111,2017-07-10,31
112,2017-07-11,28
113,2017-07-12,29
114,2017-07-13,17
115,2017-07-14,19
116,2017-07-15,12
117,2017-07-16,10
118,2017-07-17,30
119,2017-07-18,26
120,2017-07-19,17
121,2017-07-20,20
122,2017-07-21,16
123,2017-07-22,17
124,2017-07-23,11
125,2017-07-24,27
126,2017-07-25,16
127,2017-07-26,26
128,2017-07-27,20
129,2017-07-28,18
130,2017-07-29,11
131,2017-07-30,18
132,2017-07-31,19
133,2017-08-01,25
134,2017-08-02,20
135,2017-08-03,18
136,2017-08-04,25
137,2017-08-05,20
138,2017-08-06,21
139,2017-08-07,18
140,2017-08-08,23
141,2017-08-09,5
142,2017-08-10,4
143,2017-08-11,11
144,2017-08-12,12
145,2017-08-13,11
146,2017-08-14,13
147,2017-08-15,9
148,2017-08-16,14
149,2017-08-17,18
150,2017-08-18,6
151,2017-08-19,6
152,2017-08-20,9
153,2017-08-21,27
154,2017-08-22,22
155,2017-08-23,24
156,2017-08-24,32
157,2017-08-25,22
158,2017-08-26,19
159,2017-08-27,15
160,2017-08-28,22
161,2017-08-29,18
162,2017-08-30,26
163,2017-08-31,24
164,2017-09-01,18
165,2017-09-02,18
166,2017-09-03,7
167,2017-09-04,23
168,2017-09-05,21
169,2017-09-06,24
170,2017-09-07,13
171,2017-09-08,18
172,2017-09-09,20
173,2017-09-10,15
174,2017-09-11,34
175,2017-09-12,32
176,2017-09-13,24
177,2017-09-14,24
178,2017-09-15,27
179,2017-09-16,20
180,2017-09-17,11
181,2017-09-18,26
182,2017-09-19,23
183,2017-09-20,17
184,2017-09-21,18
185,2017-09-22,21
186,2017-09-23,18
187,2017-09-24,12
188,2017-09-25,37
189,2017-09-26,24
190,2017-09-27,22
191,2017-09-28,20
192,2017-09-29,13
193,2017-09-30,12
194,2017-10-01,15
195,2017-10-02,23
196,2017-10-03,19
197,2017-10-04,31
198,2017-10-05,21
199,2017-10-06,19
200,2017-10-07,27
201,2017-10-08,18
202,2017-10-09,19
203,2017-10-10,22
204,2017-10-11,18
205,2017-10-12,23
206,2017-10-13,17
207,2017-10-14,19
208,2017-10-15,15
209,2017-10-16,22
210,2017-10-17,15
211,2017-10-18,10
212,2017-10-19,6
213,2017-10-20,18
214,2017-10-21,9
215,2017-10-22,11
216,2017-10-23,16
217,2017-10-24,21
218,2017-10-25,18
219,2017-10-26,25
220,2017-10-27,19
221,2017-10-28,24
222,2017-10-29,17
223,2017-10-30,32
224,2017-10-31,38
225,2017-11-01,22
226,2017-11-02,27
227,2017-11-03,18
228,2017-11-04,20
229,2017-11-05,15
230,2017-11-06,29
231,2017-11-07,20
232,2017-11-08,22
233,2017-11-09,19
234,2017-11-10,31
235,2017-11-11,24
236,2017-11-12,20
237,2017-11-13,36
238,2017-11-14,19
239,2017-11-15,29
240,2017-11-16,23
241,2017-11-17,27
242,2017-11-18,24
243,2017-11-19,14
244,2017-11-20,32
245,2017-11-21,23
246,2017-11-22,23
247,2017-11-23,27
248,2017-11-24,28
249,2017-11-25,23
250,2017-11-26,13
251,2017-11-27,21
252,2017-11-28,32
253,2017-11-29,27
254,2017-11-30,29
255,2017-12-01,18
256,2017-12-02,25
257,2017-12-03,24
258,2017-12-04,19
259,2017-12-05,30
260,2017-12-06,14
261,2017-12-07,22
262,2017-12-08,20
263,2017-12-09,14
264,2017-12-10,20
265,2017-12-11,18
266,2017-12-12,22
267,2017-12-13,20
268,2017-12-14,20
269,2017-12-15,17
270,2017-12-16,18
271,2017-12-17,18
272,2017-12-18,26
273,2017-12-19,21
274,2017-12-20,27
275,2017-12-21,28
276,2017-12-22,29
277,2017-12-23,23
278,2017-12-24,16
279,2017-12-25,25
280,2017-12-26,40
281,2017-12-27,21
282,2017-12-28,24
283,2017-12-29,22
284,2017-12-30,25
285,2017-12-31,19
286,2018-01-01,50
287,2018-01-02,39
288,2018-01-03,18
289,2018-01-04,16
290,2018-01-05,26
291,2018-01-06,41
292,2018-01-07,22
293,2018-01-08,20
294,2018-01-09,15
295,2018-01-10,23
296,2018-01-11,19
297,2018-01-12,30
298,2018-01-13,27
299,2018-01-14,18
300,2018-01-15,30
301,2018-01-16,37
302,2018-01-17,30
303,2018-01-18,17
304,2018-01-19,13
305,2018-01-20,31
306,2018-01-21,11
307,2018-01-22,17
308,2018-01-23,14
309,2018-01-24,9
310,2018-01-25,12
311,2018-01-26,14
312,2018-01-27,8
313,2018-01-28,10
314,2018-01-29,16
315,2018-01-30,14
316,2018-01-31,8
317,2018-02-01,35
318,2018-02-02,19
319,2018-02-03,13
320,2018-02-04,18
321,2018-02-05,19
322,2018-02-06,30
323,2018-02-07,23
324,2018-02-08,16
325,2018-02-09,12
326,2018-02-10,30
327,2018-02-11,27
328,2018-02-12,22
329,2018-02-13,24
330,2018-02-14,31
331,2018-02-15,24
332,2018-02-16,29
333,2018-02-17,16
334,2018-02-18,18
335,2018-02-19,44
336,2018-02-20,33
337,2018-02-21,30
338,2018-02-22,18
339,2018-02-23,25
340,2018-02-24,16
341,2018-02-25,8
342,2018-02-26,32
343,2018-02-27,29
344,2018-02-28,31
345,2018-03-01,35
346,2018-03-02,22
347,2018-03-03,22
348,2018-03-04,19
349,2018-03-05,20
350,2018-03-06,17
351,2018-03-07,29
352,2018-03-08,33
353,2018-03-09,38
354,2018-03-10,36
355,2018-03-11,31
356,2018-03-12,39
357,2018-03-13,19
358,2018-03-14,20
359,2018-03-15,18
360,2018-03-16,30
361,2018-03-17,19
362,2018-03-18,20
363,2018-03-19,35
364,2018-03-20,22
365,2018-03-21,16
366,2018-03-22,14
367,2018-03-23,18
368,2018-03-24,20
369,2018-03-25,17
370,2018-03-26,30
371,2018-03-27,22
372,2018-03-28,17
373,2018-03-29,11
374,2018-03-30,24
375,2018-03-31,23
376,2018-04-01,36
377,2018-04-02,7
378,2018-04-03,12
379,2018-04-04,23
380,2018-04-05,16
381,2018-04-06,37
382,2018-04-07,19
383,2018-04-08,13
384,2018-04-09,23
385,2018-04-10,17
386,2018-04-11,11
387,2018-04-12,23
388,2018-04-13,14
389,2018-04-14,15
390,2018-04-15,21
391,2018-04-16,14
392,2018-04-17,20
393,2018-04-18,11
394,2018-04-19,18
395,2018-04-20,23
396,2018-04-21,11
397,2018-04-22,6
398,2018-04-23,21
399,2018-04-24,16
400,2018-04-25,9
401,2018-04-26,11
402,2018-04-27,10
403,2018-04-28,10
404,2018-04-29,5
405,2018-04-30,10
406,2018-05-01,40
407,2018-05-02,19
408,2018-05-03,16
409,2018-05-04,25
410,2018-05-05,22
411,2018-05-06,26
412,2018-05-07,27
413,2018-05-08,15
414,2018-05-09,18
415,2018-05-10,17
416,2018-05-11,28
417,2018-05-12,39
418,2018-05-13,10
419,2018-05-14,26
420,2018-05-15,13
421,2018-05-16,12
422,2018-05-17,14
423,2018-05-18,18
424,2018-05-19,17
425,2018-05-20,13
426,2018-05-21,22
427,2018-05-22,21
428,2018-05-23,16
429,2018-05-24,24
430,2018-05-25,26
431,2018-05-26,12
432,2018-05-27,22
433,2018-05-28,23
434,2018-05-29,22
435,2018-05-30,19
436,2018-05-31,22
437,2018-06-01,24
438,2018-06-02,8
439,2018-06-03,5
440,2018-06-04,18
441,2018-06-05,10
442,2018-06-06,17
443,2018-06-07,24
444,2018-06-08,23
445,2018-06-09,17
446,2018-06-10,19
447,2018-06-11,16
448,2018-06-12,28
449,2018-06-13,29
450,2018-06-14,25
451,2018-06-15,13
452,2018-06-16,14
453,2018-06-17,8
454,2018-06-18,12
455,2018-06-19,17
456,2018-06-20,18
457,2018-06-21,17
458,2018-06-22,19
459,2018-06-23,15
460,2018-06-24,12
461,2018-06-25,27
462,2018-06-26,28
463,2018-06-27,16
464,2018-06-28,17
465,2018-06-29,18
466,2018-06-30,29
467,2018-07-01,25
468,2018-07-02,24
469,2018-07-03,10
470,2018-07-04,32
471,2018-07-05,29
472,2018-07-06,27
473,2018-07-07,19
474,2018-07-08,28
475,2018-07-09,23
476,2018-07-10,19
477,2018-07-11,19
478,2018-07-12,30
479,2018-07-13,18
480,2018-07-14,19
481,2018-07-15,12
482,2018-07-16,24
483,2018-07-17,26
484,2018-07-18,13
485,2018-07-19,16
486,2018-07-20,23
487,2018-07-21,22
488,2018-07-22,11
489,2018-07-23,14
490,2018-07-24,24
491,2018-07-25,31
492,2018-07-26,13
493,2018-07-27,12
494,2018-07-28,17
495,2018-07-29,12
496,2018-07-30,17
497,2018-07-31,12
498,2018-08-01,25
499,2018-08-02,21
500,2018-08-03,8
501,2018-08-04,13
502,2018-08-05,25
503,2018-08-06,19
504,2018-08-07,4
505,2018-08-08,10
506,2018-08-09,23
507,2018-08-10,25
508,2018-08-11,17
509,2018-08-12,22
510,2018-08-13,18
511,2018-08-14,15
512,2018-08-15,11
513,2018-08-16,22
514,2018-08-17,33
515,2018-08-18,18
516,2018-08-19,8
517,2018-08-20,33
518,2018-08-21,29
519,2018-08-22,27
520,2018-08-23,26
521,2018-08-24,19
522,2018-08-25,20
523,2018-08-26,14
524,2018-08-27,31
525,2018-08-28,17
526,2018-08-29,15
527,2018-08-30,28
528,2018-08-31,16
529,2018-09-01,42
530,2018-09-02,26
531,2018-09-03,6
532,2018-09-04,24
533,2018-09-05,16
534,2018-09-06,14
535,2018-09-07,21
536,2018-09-08,16
537,2018-09-09,16
538,2018-09-10,23
539,2018-09-11,20
540,2018-09-12,18
541,2018-09-13,22
542,2018-09-14,27
543,2018-09-15,24
544,2018-09-16,24
545,2018-09-17,34
546,2018-09-18,26
547,2018-09-19,21
548,2018-09-20,28
